2022-09-12 01:46:06,807 INFO    MainThread:54497 [wandb_setup.py:_flush():68] Configure stats pid to 54497
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_setup.py:_flush():68] Loading settings from /Users/div22loaner/.config/wandb/settings
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_setup.py:_flush():68] Loading settings from /Users/div22loaner/Documents/Advanced_NLP_662/HW1/wandb/settings
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/Users/div22loaner/Documents/Advanced_NLP_662/HW1/train.py'}
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_init.py:_log_setup():476] Logging user logs to /Users/div22loaner/Documents/Advanced_NLP_662/HW1/wandb/run-20220912_014606-2xd13j8b/logs/debug.log
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/div22loaner/Documents/Advanced_NLP_662/HW1/wandb/run-20220912_014606-2xd13j8b/logs/debug-internal.log
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_init.py:init():516] calling init triggers
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_init.py:init():569] starting backend
2022-09-12 01:46:06,808 INFO    MainThread:54497 [wandb_init.py:init():573] setting up manager
2022-09-12 01:46:06,815 INFO    MainThread:54497 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-09-12 01:46:06,821 INFO    MainThread:54497 [wandb_init.py:init():580] backend started and connected
2022-09-12 01:46:06,827 INFO    MainThread:54497 [wandb_init.py:init():658] updated telemetry
2022-09-12 01:46:06,863 INFO    MainThread:54497 [wandb_init.py:init():692] communicating run to backend with 30 second timeout
2022-09-12 01:46:07,087 INFO    MainThread:54497 [wandb_run.py:_on_init():1974] communicating current version
2022-09-12 01:46:07,134 INFO    MainThread:54497 [wandb_run.py:_on_init():1978] got version response 
2022-09-12 01:46:07,134 INFO    MainThread:54497 [wandb_init.py:init():727] starting run threads in backend
2022-09-12 01:46:07,227 INFO    MainThread:54497 [wandb_run.py:_console_start():1954] atexit reg
2022-09-12 01:46:07,228 INFO    MainThread:54497 [wandb_run.py:_redirect():1812] redirect: SettingsConsole.WRAP_RAW
2022-09-12 01:46:07,228 INFO    MainThread:54497 [wandb_run.py:_redirect():1877] Wrapping output streams.
2022-09-12 01:46:07,228 INFO    MainThread:54497 [wandb_run.py:_redirect():1899] Redirects installed.
2022-09-12 01:46:07,229 INFO    MainThread:54497 [wandb_init.py:init():764] run started, returning control to user process
2022-09-12 01:46:12,455 WARNING MsgRouterThr:54497 [router.py:message_loop():77] message_loop has been closed
